,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval)
0,UDInfoPMSA3,0.30556596786167967,0.6292022015939078,0.32363623373222816,2.0249805934024944e-16,0.10776303621352028,0.33472836447759063,0.22696532826407034,2.710110330085628e-12,0.4059999999999999,0.42800000000000005,0.02200000000000013,0.458711423615913,0.23651058490019372,0.3274215938936556,0.09091100899346188,0.00015665859357760916
1,IKMLAB_1,0.4875771014348279,0.6683774378990175,0.18080033646418958,1.7275899027234196e-15,0.20165608843410143,0.3999593105592446,0.19830322212514317,7.982790176367631e-11,0.528,0.5720000000000001,0.04400000000000004,0.12274670325781152,0.4083816463414846,0.4000644773017173,-0.008317169039767314,0.6234753385999222
2,doc2vec_run,0.0023381473954216044,0.5605691400173988,0.5582309926219772,8.371930844654057e-31,9.869436288358736e-05,0.2627346266001642,0.26263593223728066,3.981549833479637e-15,0.004,0.266,0.262,9.233179561559819e-12,0.0024143605863345434,0.2575112084501041,0.25509684786376957,4.863132892248862e-12
3,cbnuSA3,0.2581609965369483,0.6063377935609066,0.34817679702395826,6.046572230815222e-19,0.06883800182722197,0.31481721052576717,0.2459792086985452,3.065190965966527e-14,0.23800000000000002,0.326,0.088,0.003193686013039635,0.21728170940260014,0.3175069428990993,0.10022523349649917,7.75438464529248e-05
4,two_stage,0.5245689428095386,0.693278785708676,0.16870984289913737,4.944689143582187e-10,0.22776613481758068,0.3889666134720078,0.1612004786544271,7.683810907651119e-08,0.508,0.506,-0.0020000000000000018,0.9478775432347613,0.4007013717609849,0.3720438805177142,-0.028657491243270716,0.2297257138332266
5,bool51,0.36494170527928477,0.6455584130256059,0.28061670774632114,1.493711252248069e-16,0.1385758060320192,0.36495581750593686,0.22638001147391767,5.2493076768854926e-14,0.446,0.496,0.04999999999999999,0.1287113367092399,0.31286785087229296,0.3608918612007781,0.048024010328485134,0.012543326037122278
6,MSIIP_PBL,0.54344793542532,0.7119442818967017,0.16849634647138167,5.590815838432427e-10,0.24966772218963743,0.41633150320847967,0.16666378101884224,6.768756482435636e-07,0.6679999999999999,0.604,-0.06399999999999995,0.02568007439166091,0.4505347623750462,0.3993644806925263,-0.051170281682519914,0.04489178911967624
7,imi_mug_abs3,0.6247443999207412,0.7143891662193088,0.08964476629856766,1.4046169602817004e-05,0.31362768166038424,0.41873330640049916,0.10510562474011492,3.6820438677696344e-05,0.59,0.558,-0.03199999999999992,0.24460140700299185,0.4835961413897249,0.4059343458800069,-0.07766179550971802,4.2770548051563074e-05
8,rbf,0.5278740142345615,0.6933204708446118,0.1654464566100503,5.44942197422774e-10,0.23114448483028432,0.3903488177001479,0.15920433286986357,1.230284985148382e-07,0.51,0.49,-0.020000000000000018,0.5132963371629472,0.4132047657126025,0.3747139773709186,-0.0384907883416839,0.07819462052356956
9,MSIIP_PBH,0.5405792310737197,0.7103361452983853,0.16975691422466554,6.051949038285617e-10,0.24924277984284815,0.4145880177212562,0.16534523787840805,7.300386156052293e-07,0.6679999999999999,0.592,-0.07599999999999996,0.008004895386571355,0.4457925995680727,0.39766454748282426,-0.04812805208524845,0.06267849519213003
10,KL18AbsFuse,0.5102334239880186,0.6770038387857685,0.1667704147977499,2.3631661025152217e-10,0.22290626629172056,0.3777243542691192,0.15481808797739866,6.006698382940735e-08,0.5420000000000001,0.48400000000000004,-0.05800000000000011,0.07564174780060791,0.38895627469136856,0.363086625827689,-0.02586964886367954,0.16585691556420365
11,UVAEXPBSTDIF,0.1878499913889385,0.6294340659303713,0.44158407454143284,5.702783060269564e-27,0.07464827915137881,0.32756320502345604,0.2529149258720772,9.231728447679517e-14,0.596,0.504,-0.09199999999999997,7.871535826954506e-05,0.09816008059691539,0.31546860082716704,0.21730852023025166,2.0268760827155494e-09
12,MSIIP_BASE,0.5607431472219618,0.7149508229648011,0.15420767574283922,1.889525913805026e-09,0.26366311839786033,0.4180609950773227,0.15439787667946236,1.7099533284670601e-06,0.6679999999999999,0.606,-0.061999999999999944,0.046516278245682885,0.4632309843667352,0.4016213430726067,-0.06160964129412849,0.010872114167643788
13,mayomedsimp,0.4276879386361489,0.6552608672150672,0.22757292857891825,3.059833172766161e-14,0.19916245920016784,0.38157739084274717,0.18241493164257933,1.2106588726470646e-11,0.5640000000000001,0.546,-0.018000000000000016,0.5607495732251858,0.359049860656837,0.3758997284750328,0.016849867818195752,0.34243133222972755
14,SIBTMlit1,0.6421962446123266,0.7263466735441164,0.08415042893178981,0.00022357332736832144,0.3199649521139637,0.4273842721729396,0.10741932005897592,0.0001058721102854698,0.5920000000000001,0.54,-0.052000000000000046,0.09353658488509091,0.4964893237528555,0.41412208877541007,-0.08236723497744541,0.0006837449882772853
15,UNTIIA_DGES,0.253910270188941,0.6471580804473394,0.39324781025839833,4.585710891607164e-27,0.05895669630621134,0.3293020478400518,0.27034535153384043,7.462572777736794e-15,0.34,0.414,0.07399999999999995,0.010917940766649968,0.2089257587401321,0.3111567492264872,0.10223099048635506,0.0001509089420218036
16,UDInfoPMSA4,0.3090137839811542,0.6296146630330577,0.3206008790519035,2.4841757605153783e-16,0.10936821230584842,0.3350426774828074,0.225674465176959,3.6268430774711593e-12,0.41,0.426,0.016000000000000014,0.5895922731563048,0.23852517778997703,0.3271756090307721,0.08865043124079505,0.0001892554142127463
17,cbnuSA2,0.4935136653328211,0.6550413751228663,0.16152770979004522,9.267244373126373e-11,0.20433493978287298,0.3748096404529463,0.1704747006700733,1.6690125148192173e-09,0.544,0.524,-0.020000000000000018,0.5132963371629472,0.3816705245513844,0.3750246878887119,-0.0066458366626724885,0.7021438760654992
18,UTDHLTRI_RF,0.4972675297846363,0.6835898013466387,0.18632227156200243,1.6032022501884364e-09,0.18539205741337367,0.3815730476309894,0.19618099021761576,1.602565786943267e-09,0.532,0.486,-0.04600000000000004,0.08920777214390688,0.38054926031718017,0.3691624048765352,-0.011386855440644994,0.610158574737028
19,SIBTMlit3,0.6400312786307797,0.7271439126506695,0.08711263401988978,0.00023493728692488555,0.32105400572824755,0.42746523362710115,0.1064112278988536,0.00021217196882012592,0.622,0.5379999999999999,-0.08400000000000007,0.0056970734033978555,0.502448119557996,0.41241883505971016,-0.09002928449828579,0.00025379389733797757
20,minfolabBC,0.25209750678985804,0.6537879466073843,0.4016904398175262,7.23367153338752e-24,0.09828245019775798,0.33783489196049543,0.23955244176273743,7.26391793848013e-13,0.474,0.468,-0.00599999999999995,0.8047802491671369,0.1595544863769597,0.3192938349461992,0.15973934856923946,2.933643698501752e-06
21,MedIER_sa15,0.6127810022073921,0.7199260268284118,0.10714502462101971,9.80948281479845e-07,0.30016261673245187,0.4198908435631574,0.11972822683070555,3.141119610280577e-05,0.602,0.544,-0.05799999999999994,0.052217978035551414,0.4774932687334612,0.40291853686667556,-0.07457473186678565,0.000891932705483083
22,cubicmnzAbs,0.4170404997907823,0.6353792760504665,0.21833877625968423,2.7692047880163443e-14,0.16096508664882112,0.35065921720986076,0.18969413056103965,1.348267258767478e-10,0.482,0.44800000000000006,-0.03399999999999992,0.1829675987823429,0.31990807857284426,0.34611326163829226,0.026205183065448,0.1664984758963393
23,PM_IBI_run2,0.3479021818062412,0.6539256458718511,0.3060234640656099,1.8075847514966352e-18,0.14458536450898488,0.3458367334503928,0.2012513689414079,4.6135727047296886e-11,0.48800000000000004,0.4639999999999999,-0.024000000000000132,0.39921745680469456,0.2576055139891802,0.32975281047019595,0.07214729648101575,0.008634751454796037
24,IKMLAB_5,0.12139005317333262,0.6218742872822919,0.5004842341089593,7.17074941364727e-25,0.02451552318361911,0.3115795334829627,0.2870640102993436,6.662008927713483e-15,0.15200000000000002,0.3739999999999999,0.22199999999999986,1.2018156018136159e-08,0.10782841008959837,0.30163315419016834,0.19380474410056997,8.007624098095663e-08
25,method_fu,0.531669452483129,0.6944896340550547,0.16282018157192568,8.944631185278383e-11,0.224490894653925,0.3911277954648259,0.1666369008109009,2.0159079051968824e-08,0.498,0.522,0.02400000000000002,0.41973446400137004,0.4078363086457315,0.3733991966315267,-0.034437112014204796,0.11721447778162149
26,hpipubnone,0.658219722126419,0.7274766454073418,0.06925692328092281,0.0002172045554282153,0.3266082853458719,0.43497578890521943,0.10836750355934754,0.00011556996804732343,0.7099999999999999,0.556,-0.1539999999999998,1.690715984986249e-06,0.529187326907794,0.42078749725051035,-0.10839982965728368,1.2626062405267928e-06
27,PM_IBI_run3,0.296439319910349,0.6418147005343137,0.34537538062396467,5.2540882276872454e-21,0.1053067806048838,0.3337594765753486,0.2284526959704648,3.229946373620651e-13,0.19,0.44799999999999995,0.25799999999999995,2.9244610074433592e-08,0.23699318526164068,0.31964387535923966,0.08265069009759898,0.0019453391352258146
28,RSA_DSC_LA_3,0.5438509441176124,0.709818358910476,0.1659674147928636,1.2754861036501528e-08,0.24086135437547576,0.407003459430287,0.16614210505481122,2.926708000034626e-07,0.5479999999999999,0.5219999999999999,-0.026000000000000023,0.45468839837554875,0.45217312302614837,0.3943904234002201,-0.05778269962592825,0.017540521033402163
29,ECNU_S_Run3,0.013357249766142214,0.5609010856213511,0.5475438358552089,5.5823153894701525e-30,0.0010763769257528559,0.2578456102062112,0.25676923328045836,9.495640891161965e-15,0.016,0.28,0.264,5.154039975592521e-11,0.009987794905652074,0.24785052577244224,0.23786273086679016,6.073094899312429e-11
30,PM_IBI_run1,0.36646273992731926,0.6541644620353929,0.28770172210807365,1.262514368007966e-16,0.17181222431340606,0.34865107223909114,0.17683884792568508,3.846249220166696e-09,0.546,0.484,-0.062000000000000055,0.033922879205500425,0.2709668171567022,0.3324005496579122,0.06143373250121004,0.029257396344311577
31,KL18absHY,0.5272285998833351,0.6816389419148255,0.1544103420314904,1.0501249092221953e-09,0.2298784430154993,0.38340794482126256,0.15352950180576325,6.791392211729564e-08,0.534,0.48399999999999993,-0.0500000000000001,0.13306042398416879,0.4003137944246694,0.3670012911642294,-0.033312503260439996,0.07111621638444868
32,SINAI_FU,0.5693076412241908,0.7043231522636865,0.13501551103949572,7.647613475353804e-09,0.24359364166030598,0.3973923808340941,0.15379873917378814,4.1339745253101935e-08,0.4860000000000001,0.508,0.02199999999999991,0.562400244011144,0.4267566811364302,0.3812743382619908,-0.04548234287443942,0.015963550452610623
33,mayomedcreat,0.29636724629634725,0.6171385698820497,0.3207713235857025,2.0056860962905056e-21,0.07855111207508368,0.3295741392835804,0.25102302720849673,2.777061266143879e-16,0.306,0.45399999999999996,0.14799999999999996,4.644796185374875e-06,0.24649713274606025,0.32591119570892674,0.07941406296286649,1.6814699243904754e-05
34,elastic_run,0.3049579116479231,0.6183307961155107,0.3133728844675876,9.085250679423556e-17,0.10443393290977837,0.33133576602746195,0.22690183311768358,3.684695188419281e-12,0.38199999999999995,0.446,0.06400000000000006,0.12213066307824762,0.2401620170797986,0.330167752020203,0.0900057349404044,0.00021977726820814964
