,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval)
12,MSIIP_BASE,0.5607431472219618,0.7170785204509387,0.15633537322897684,4.74406468688384e-09,0.26366311839786033,0.41718777427261394,0.1535246558747536,2.9720242964115082e-06,0.6679999999999999,0.6179999999999999,-0.050000000000000044,0.13016494586934868,0.4632309843667352,0.3946613930827305,-0.0685695912840047,0.006219181688121047
13,mayomedsimp,0.4276879386361489,0.6464733739136911,0.21878543527754218,1.1900038272993428e-13,0.19916245920016784,0.3636631524256929,0.16450069322552507,1.4256463867847227e-09,0.5640000000000001,0.5479999999999999,-0.016000000000000125,0.6012839827927112,0.359049860656837,0.3572708304964358,-0.001779030160401207,0.9274673061676981
14,SIBTMlit1,0.6421962446123266,0.7187094765793338,0.07651323196700721,0.0011319670817428074,0.3199649521139637,0.4148949210177235,0.09492996890375982,0.0016079427704708104,0.5920000000000001,0.548,-0.04400000000000004,0.1749132096479118,0.4964893237528555,0.4063728397911489,-0.09011648396170657,0.0005850226800418206
15,UNTIIA_DGES,0.253910270188941,0.6289668111219715,0.3750565409330305,3.0909873501484387e-25,0.05895669630621134,0.30060665482224835,0.24164995851603702,2.7513776583006617e-13,0.34,0.4,0.06,0.03427968920018901,0.2089257587401321,0.30169870336048205,0.09277294462034993,0.0007917304425532186
16,UDInfoPMSA4,0.3090137839811542,0.6332273739892886,0.32421359000813443,1.8748817688858852e-16,0.10936821230584842,0.33712085650449203,0.2277526441986436,2.737998342585822e-12,0.41,0.43799999999999994,0.02799999999999997,0.3774099494604942,0.23852517778997703,0.32737864392425303,0.088853466134276,0.0001938171924114763
17,cbnuSA2,0.4935136653328211,0.6575257732276366,0.16401210789481552,1.0649260834327339e-10,0.20433493978287298,0.37674262659286534,0.17240768680999236,2.2746985391781437e-09,0.544,0.534,-0.010000000000000009,0.7519466298890564,0.3816705245513844,0.3736629891922369,-0.0080075353591475,0.6495826908793065
18,UTDHLTRI_RF,0.4972675297846363,0.684786447687176,0.18751891790253972,8.297821566316466e-10,0.18539205741337367,0.3779803744825976,0.1925883170692239,9.92555922444078e-10,0.532,0.49400000000000005,-0.03799999999999998,0.14315639412200828,0.38054926031718017,0.36534182417249783,-0.01520743614468234,0.5111375187225607
19,SIBTMlit3,0.6400312786307797,0.7200214813056024,0.07999020267482271,0.0010162834200262054,0.32105400572824755,0.4159242372849157,0.09487023155666813,0.002259118328801054,0.622,0.5619999999999999,-0.06000000000000005,0.08319896692938424,0.502448119557996,0.4059557337865957,-0.09649238577140024,0.00028328052637595705
20,minfolabBC,0.25209750678985804,0.6284545733268561,0.376357066536998,1.556967811551917e-20,0.09828245019775798,0.30535317205694995,0.20707072185919195,2.3193967356324459e-10,0.474,0.376,-0.09799999999999998,0.005509146803720429,0.1595544863769597,0.2805839008561359,0.12102941447917617,0.0004089605583312405
21,MedIER_sa15,0.6127810022073921,0.726342078196918,0.11356107598952592,2.1973239481076548e-07,0.30016261673245187,0.42195907079246614,0.12179645406001427,2.5569515319414106e-05,0.602,0.56,-0.041999999999999926,0.16370800216287368,0.4774932687334612,0.40374835092444816,-0.07374491780901304,0.0013436815725732987
