,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),mrr (base),mrr (fuse),mrr (diff),mrr (pval)
0,UDInfoPMSA3,0.30556596786167967,0.6068103627520134,0.3012443948903337,3.552676230069133e-17,0.10776303621352028,0.2795003219362837,0.17173728572276342,4.9918352978755005e-12,0.4059999999999999,0.3820000000000001,-0.0239999999999998,0.371017043115317,0.23651058490019372,0.3177457108403913,0.0812351259401976,0.00045139852725081673,0.5800668324255991,0.5983976967827679,0.018330864357168797,0.7441719706729593
1,IKMLAB_1,0.4875771014348279,0.6390459978438271,0.1514688964089992,1.1122172563387294e-13,0.20165608843410143,0.33600348897457283,0.1343474005404714,7.614822360351055e-09,0.528,0.506,-0.02200000000000002,0.35602005832849815,0.4083816463414846,0.36522091360063896,-0.04316073274084564,0.022849566805992958,0.6150595238095238,0.6847476002258611,0.06968807641633734,0.1952421304897456
2,doc2vec_run,0.0023381473954216044,0.5211063003051289,0.5187681529097073,4.075095988733083e-30,9.869436288358736e-05,0.18412877154661242,0.18403007718372882,5.398814550067085e-14,0.004,0.25799999999999995,0.25399999999999995,5.497833661370915e-11,0.0024143605863345434,0.22711102453247584,0.2246966639461413,3.2585384592892766e-11,0.004108369818304888,0.4107867300929037,0.4066783602745988,8.32385189302778e-11
3,cbnuSA3,0.2581609965369483,0.5696912727834781,0.3115302762465298,2.2356128132809907e-18,0.06883800182722197,0.24225299787820304,0.17341499605098107,1.2917647866320649e-12,0.23800000000000002,0.31,0.07199999999999998,0.002242029170829116,0.21728170940260014,0.2910484774299699,0.07376676802736978,0.0034434072278415086,0.3875376916847376,0.47573977802383377,0.08820208633909615,0.017105734563305334
4,two_stage,0.5245689428095386,0.6843148477709348,0.15974590496139618,1.6802302371228944e-10,0.22776613481758068,0.35485110239967155,0.12708496758209087,1.3503670616560488e-07,0.508,0.488,-0.020000000000000018,0.4288796984817279,0.4007013717609849,0.37132420352296414,-0.02937716823802078,0.20697870299634677,0.6641844210501598,0.6538662096162097,-0.010318211433950175,0.8416604787186512
5,bool51,0.36494170527928477,0.6244305093831001,0.2594888041038153,3.770384077416351e-18,0.1385758060320192,0.3042503787923413,0.1656745727603221,5.620448949306502e-13,0.446,0.42599999999999993,-0.020000000000000073,0.4565552018075497,0.31286785087229296,0.3313641973627841,0.018496346490491145,0.3332915007453259,0.5367805266769667,0.7078029710402592,0.1710224443632925,0.0007203725240350993
6,MSIIP_PBL,0.54344793542532,0.7080880935168455,0.16464015809152555,1.3441364157026443e-12,0.24966772218963743,0.3787082492504997,0.12904052706086225,5.0131403370916925e-08,0.6679999999999999,0.606,-0.061999999999999944,0.013017727484094766,0.4505347623750462,0.4185443784905709,-0.03199038388447528,0.13516978531428625,0.8094294294294295,0.7749256360078278,-0.0345037934216017,0.46359514987876316
7,imi_mug_abs3,0.6247443999207412,0.7107471667275447,0.08600276680680352,4.342150288862935e-06,0.31362768166038424,0.3943398510308779,0.08071216937049364,9.394895367566977e-05,0.59,0.5260000000000001,-0.06399999999999983,0.0045608766135860155,0.4835961413897249,0.40214995362665684,-0.08144618776306806,9.993902298549788e-06,0.8508333333333334,0.697409506019095,-0.15342382731423843,0.003648354284310471
8,rbf,0.5278740142345615,0.6816850339648259,0.15381101973026445,2.061953344990864e-10,0.23114448483028432,0.35449397407866745,0.12334948924838313,3.5370731849296266e-07,0.51,0.458,-0.05199999999999999,0.08790178161740847,0.4132047657126025,0.3689979222410739,-0.04420684347152859,0.04081924597345353,0.6283885636899554,0.6399217727043813,0.011533209014425894,0.852188359232346
9,MSIIP_PBH,0.5405792310737197,0.7070150977709789,0.16643586669725918,1.990778481585774e-12,0.24924277984284815,0.3781493871132496,0.12890660727040143,5.350979298412586e-08,0.6679999999999999,0.602,-0.06599999999999995,0.008780034245022978,0.4457925995680727,0.41762962636254675,-0.028162973205525965,0.19907106510340883,0.8094294294294295,0.7749256360078278,-0.0345037934216017,0.46359514987876316
