,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval)
0,UDInfoPMSA3,0.4898854026126848,0.6360719624020329,0.14618655978934808,1.1145193356543669e-07,0.16427658504533418,0.25727844483121093,0.09300185978587674,0.00021861930131199955,0.4233333333333333,0.39,-0.03333333333333327,0.25817412320352917,0.25651730476999196,0.24455307627830353,-0.011964228491688433,0.4445542590107615
1,ielabRun3,0.03921843989991786,0.5083372959210855,0.4691188560211676,5.423459063142385e-18,0.0019699761929898993,0.1673610433199998,0.1653910671270099,6.38357055439861e-08,0.013333333333333334,0.16,0.14666666666666667,3.211592956351468e-05,0.024086735434636308,0.13881039291517902,0.11472365748054271,5.075211373528128e-05
2,ECNU_M_5,0.42896818734352743,0.610387172753311,0.18141898540978357,6.665374787375985e-09,0.14069852492531235,0.24312253571718967,0.10242401079187732,2.7681354568143886e-05,0.3766666666666667,0.3300000000000001,-0.04666666666666658,0.14271921199823998,0.22194969243123094,0.2285417776745333,0.006592085243302348,0.5812535908306422
3,aCSIROmedMGB,0.2303287440275711,0.5505203705608385,0.3201916265332674,2.099723175781254e-18,0.043030178160851376,0.20561521218914647,0.1625850340282951,2.3617340760767073e-08,0.22,0.28,0.060000000000000026,0.03927132785072473,0.1581465148138911,0.18059616922903363,0.022449654415142517,0.14850663618547683
4,mayonlppm2,0.3031250196489231,0.5721712095432622,0.2690461898943391,2.211362261730843e-11,0.07294142501437796,0.2157315810794639,0.14279015606508594,3.1043830514430752e-06,0.37999999999999995,0.33666666666666667,-0.04333333333333328,0.14644173275755062,0.1733475143002389,0.20236919885395074,0.029021684553711846,0.13019397268285193
5,mayonlppm1,0.26782043245199916,0.5691086401881189,0.30128820773611975,2.0685814975736137e-09,0.08343671984725409,0.21546711381693115,0.13203039396967706,2.1135686422897082e-05,0.4066666666666666,0.3466666666666667,-0.05999999999999994,0.007018418990846286,0.14440814896483228,0.20387682919120115,0.059468680226368864,0.0627155182046381
6,SDSFU_Jnal,0.33075950649502145,0.5653602791481431,0.23460077265312168,4.4392050458822775e-12,0.08543384030804704,0.20127715208272776,0.11584331177468071,8.422598909088078e-06,0.26,0.26999999999999996,0.009999999999999953,0.7318899491481212,0.19356851609856754,0.17672887647176197,-0.01683963962680557,0.3515579790911214
7,Textual,0.4182506832113502,0.6137170776848048,0.19546639447345454,1.579506755345812e-10,0.14312235374354115,0.2562204987828646,0.11309814503932347,9.885823834484282e-06,0.4333333333333333,0.38666666666666666,-0.046666666666666634,0.1286891828819546,0.2306010387067867,0.244922135608356,0.014321096901569297,0.23499916821590472
8,KISTI02,0.39809661002114005,0.5831809050493381,0.185084295028198,7.667701562724911e-09,0.12470921074416737,0.23331286874649643,0.10860365800232906,1.2751954637237074e-05,0.38999999999999996,0.36666666666666664,-0.023333333333333317,0.48658469122176684,0.2131953561722512,0.22043831262015184,0.007242956447900656,0.5504751065504543
9,cbnuSA3,0.2618993070661933,0.5469935612347959,0.2850942541686026,2.5952353498517363e-12,0.05777658384233475,0.2080449231480735,0.15026833930573874,9.341697070098764e-08,0.19333333333333336,0.24666666666666673,0.05333333333333337,0.10705717912997331,0.16572984437980226,0.19249384639158543,0.026764002011783167,0.07526419693051911
10,UNTIIAIS,0.13683309392119292,0.5409194481201528,0.4040863541989599,8.971251625695573e-15,0.04906389929560319,0.20425849744018387,0.1551945981445807,1.7915375400689493e-07,0.19666666666666668,0.24666666666666667,0.04999999999999999,0.20520595278290618,0.09361198434417717,0.1799823520699095,0.08637036772573234,0.0002915361225867859
11,UWMSOIS8,0.4317690792157867,0.5883565982431631,0.1565875190273764,4.3988620188960155e-09,0.13139449149952195,0.2389407295483729,0.10754623804885094,3.0520390797469443e-06,0.3566666666666667,0.36333333333333334,0.006666666666666654,0.8453803465134364,0.22526971271738586,0.2286685840642932,0.003398871346907334,0.7540181397774228
12,mRun2BslOth,0.4840548092070225,0.6338983203569099,0.14984351114988737,1.7892562379667684e-07,0.16266780626867156,0.25587961255903413,0.09321180629036258,0.0001752851511776951,0.45666666666666667,0.37999999999999995,-0.07666666666666672,0.01803388473278488,0.251918508200277,0.24246019835736116,-0.009458309842915846,0.5074645577098379
13,UDInfoPMSA7,0.5009116150748381,0.6452336502180284,0.1443220351431903,4.1266348529987283e-07,0.1760786498808,0.26644517198543344,0.09036652210463345,7.057409988705996e-05,0.43666666666666665,0.39333333333333337,-0.04333333333333328,0.12474833390806804,0.2699954049555224,0.2588963025454769,-0.01109910241004547,0.43367529931382887
14,udelT1PRF,0.4369351713392041,0.6199027145198799,0.18296754318067576,1.0181987180063152e-09,0.14979613119810123,0.2518594606250336,0.10206332942693239,3.2019625075730135e-05,0.41333333333333333,0.3766666666666667,-0.036666666666666625,0.28111012423075077,0.24277719956823976,0.23578561485824717,-0.006991584709992588,0.636914363757592
15,POZabsBB2GRn,0.24492141267480136,0.5753265603710508,0.3304051476962494,1.3126299285402595e-16,0.0711226721141482,0.23952807177480193,0.1684053996606537,1.879054448452658e-07,0.35333333333333333,0.3633333333333333,0.009999999999999953,0.7812064731862761,0.1809269735097742,0.22986438052148989,0.04893740701171567,0.02315467137562545
