,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),mrr (base),mrr (fuse),mrr (diff),mrr (pval)
0,UDInfoPMSA3,0.4898854026126848,0.0,-0.4898854026126848,1.7756148768737907e-17,0.16427658504533418,0.0,-0.16427658504533418,1.2980535407756246e-09,0.4233333333333333,0.0,-0.4233333333333333,1.8479257514026522e-09,0.25651730476999196,0.0,-0.25651730476999196,6.448470127841118e-09,0.697053022077452,0.0,-0.697053022077452,2.7579946394019812e-11
1,ielabRun3,0.03921843989991786,0.0,-0.03921843989991786,1.2704166576793208e-05,0.0019699761929898993,0.0,-0.0019699761929898993,0.0685952404714102,0.013333333333333334,0.0,-0.013333333333333334,0.10329970911247381,0.024086735434636308,0.0,-0.024086735434636308,0.0007153728368330213,0.02365574291974188,0.0,-0.02365574291974188,0.003484621640878293
2,ECNU_M_5,0.42896818734352743,0.0,-0.42896818734352743,8.798906765762248e-13,0.14069852492531235,0.0,-0.14069852492531235,3.552658828367268e-08,0.3766666666666667,0.0,-0.3766666666666667,2.1147090882001523e-07,0.22194969243123094,0.0,-0.22194969243123094,8.282483767455251e-08,0.6041984460079088,0.0,-0.6041984460079088,4.7492578499209144e-09
3,aCSIROmedMGB,0.2303287440275711,0.0,-0.2303287440275711,2.191111530601805e-09,0.043030178160851376,0.0,-0.043030178160851376,2.741614281821145e-05,0.22,0.0,-0.22,5.871976380763707e-05,0.1581465148138911,0.0,-0.1581465148138911,5.089486040157643e-06,0.44284510650530556,0.0,-0.44284510650530556,9.648053241305522e-06
4,mayonlppm2,0.3031250196489231,0.0,-0.3031250196489231,1.445457141331559e-13,0.07294142501437796,0.0,-0.07294142501437796,6.610949042005881e-07,0.37999999999999995,0.0,-0.37999999999999995,1.4414066541863092e-07,0.1733475143002389,0.0,-0.1733475143002389,3.3022441973508015e-09,0.6083121237000547,0.0,-0.6083121237000547,2.2484267913035517e-09
5,mayonlppm1,0.26782043245199916,0.0,-0.26782043245199916,1.2140885107145892e-08,0.08343671984725409,0.0,-0.08343671984725409,9.543762524995165e-06,0.4066666666666666,0.0,-0.4066666666666666,4.502286582031967e-08,0.14440814896483228,0.0,-0.14440814896483228,2.6357957252816044e-06,0.6872573561703997,0.0,-0.6872573561703997,3.1003740195129864e-10
6,SDSFU_Jnal,0.33075950649502145,0.0,-0.33075950649502145,3.1561061593051738e-12,0.08543384030804704,0.0,-0.08543384030804704,6.080204599587865e-07,0.26,0.0,-0.26,1.926002194777696e-06,0.19356851609856754,0.0,-0.19356851609856754,4.0820376629838954e-08,0.44086241161404555,0.0,-0.44086241161404555,1.4160372048043926e-06
7,Textual,0.4182506832113502,0.0,-0.4182506832113502,4.249527936845847e-13,0.14312235374354115,0.0,-0.14312235374354115,5.327460562159014e-08,0.4333333333333333,0.0,-0.4333333333333333,7.82587345093433e-09,0.2306010387067867,0.0,-0.2306010387067867,2.4225997722537653e-08,0.7402525252525252,0.0,-0.7402525252525252,6.044301818906663e-12
8,KISTI02,0.39809661002114005,0.0,-0.39809661002114005,1.1838559058249049e-13,0.12470921074416737,0.0,-0.12470921074416737,1.1073179139212383e-07,0.38999999999999996,0.0,-0.38999999999999996,3.200453992389972e-07,0.2131953561722512,0.0,-0.2131953561722512,6.125869511818361e-08,0.6630256740238568,0.0,-0.6630256740238568,9.958498607869474e-10
9,cbnuSA3,0.2618993070661933,0.0,-0.2618993070661933,1.8973471037836666e-09,0.05777658384233475,0.0,-0.05777658384233475,0.0001497523208544668,0.19333333333333336,0.0,-0.19333333333333336,0.00024303640739860711,0.16572984437980226,0.0,-0.16572984437980226,1.763195295606124e-06,0.2896637209417577,0.0,-0.2896637209417577,4.394838436398204e-05
