,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval)
0,UDInfoPMSA3,0.4898854026126848,0.6071177478310876,0.11723234521840281,5.34110236454509e-05,0.16427658504533418,0.23180230193781692,0.06752571689248274,0.007686475497832274,0.4233333333333333,0.3266666666666666,-0.09666666666666668,0.009988964862904046,0.25651730476999196,0.20586831545494239,-0.050648989315049575,0.0034883130215255225
1,ielabRun3,0.03921843989991786,0.4689344911604442,0.42971605126052637,3.319190376497777e-17,0.0019699761929898993,0.1323780316326683,0.13040805543967843,5.817327392116604e-07,0.013333333333333334,0.07666666666666667,0.06333333333333334,0.004585812014881419,0.024086735434636308,0.09123946028467822,0.06715272485004191,0.0013093578092926623
2,ECNU_M_5,0.42896818734352743,0.5957452403004545,0.16677705295692707,6.639571511348469e-08,0.14069852492531235,0.22705307433713207,0.08635454941181972,0.0002668413326585575,0.3766666666666667,0.3266666666666666,-0.0500000000000001,0.22498863397912777,0.22194969243123094,0.19766463105135293,-0.024285061379878015,0.06277480798986598
3,aCSIROmedMGB,0.2303287440275711,0.5314499779522642,0.30112123392469314,5.714867499382429e-18,0.043030178160851376,0.19074233254081044,0.14771215437995905,2.1949511743568275e-07,0.22,0.2733333333333333,0.053333333333333316,0.015572102764076324,0.1581465148138911,0.1719249918568637,0.013778477042972581,0.22413492296161744
4,mayonlppm2,0.3031250196489231,0.5470889701594874,0.24396395051056435,2.1415808096800296e-09,0.07294142501437796,0.19620465712470686,0.1232632321103289,2.570517773263457e-05,0.37999999999999995,0.2933333333333333,-0.08666666666666667,0.016789334659992845,0.1733475143002389,0.18012038212896156,0.006772867828722662,0.6713168819026194
5,mayonlppm1,0.26782043245199916,0.546395900657569,0.2785754682055699,7.884295420561918e-09,0.08343671984725409,0.19287880520785183,0.10944208536059774,5.837787313473679e-05,0.4066666666666666,0.33666666666666667,-0.06999999999999995,0.019977068662071277,0.14440814896483228,0.17392626819525123,0.029518119230418943,0.2412209763118456
6,SDSFU_Jnal,0.33075950649502145,0.5666786847817759,0.2359191782867544,2.542526149383099e-12,0.08543384030804704,0.2072182739198066,0.12178443361175956,4.028884065938868e-06,0.26,0.2966666666666667,0.03666666666666668,0.24472399535784753,0.19356851609856754,0.18191387449235907,-0.011654641606208466,0.41296893611195873
7,Textual,0.4182506832113502,0.6012735580627102,0.18302287485135998,1.473631756601342e-09,0.14312235374354115,0.2367818325117764,0.09365947876823524,0.00011118550013308276,0.4333333333333333,0.37666666666666665,-0.05666666666666664,0.08419866518110156,0.2306010387067867,0.21183554503379953,-0.01876549367298716,0.1128095694592932
8,KISTI02,0.39809661002114005,0.5593492848427621,0.1612526748216221,4.5743780798223056e-07,0.12470921074416737,0.21696501252675407,0.0922558017825867,0.00018253558367430938,0.38999999999999996,0.3166666666666667,-0.07333333333333325,0.06768093828560069,0.2131953561722512,0.19694690404649878,-0.016248452125752405,0.19530666507306932
9,cbnuSA3,0.2618993070661933,0.5336952916236015,0.2717959845574082,9.445447860256131e-12,0.05777658384233475,0.1943236180551761,0.13654703421284134,4.794192041692393e-07,0.19333333333333336,0.26666666666666666,0.0733333333333333,0.006271709139167616,0.16572984437980226,0.1708150543321699,0.005085209952367636,0.6827630389322272
10,UNTIIAIS,0.13683309392119292,0.5083779043098635,0.3715448103886706,9.488485028876047e-14,0.04906389929560319,0.1708168739851773,0.12175297468957412,3.923520128358794e-06,0.19666666666666668,0.1833333333333333,-0.013333333333333391,0.6305786429724531,0.09361198434417717,0.13863392042861516,0.045021936084438,0.02035328445929988
11,UWMSOIS8,0.4317690792157867,0.5706143560783736,0.1388452768625869,2.5119201948480315e-07,0.13139449149952195,0.22301171717226895,0.091617225672747,7.900320275827126e-05,0.3566666666666667,0.3233333333333333,-0.03333333333333338,0.2941006558896587,0.22526971271738586,0.20402901734239673,-0.021240695374989127,0.07875476721392606
12,mRun2BslOth,0.4840548092070225,0.6145657072682255,0.13051089806120297,1.109083648400006e-05,0.16266780626867156,0.23832644504531267,0.07565863877664111,0.00245538333613499,0.45666666666666667,0.3366666666666667,-0.11999999999999994,0.005738563826322866,0.251918508200277,0.20864336646139342,-0.04327514173888358,0.008824453128227352
