,System,nDCG (base),nDCG (rrf),nDCG (delta),AP (base),AP (rrf),AP (delta),P@10 (base),P@10 (rrf),P@10 (delta)
58,NOVAsa1,0.3170515412554982,0.3518333572249939,0.0347818159694957,0.08317738670562919,0.1307617178696967,0.04758433116406752,0.27666666666666667,0.3233333333333333,0.046666666666666634
59,UTDHLTFF,0.5448404081950217,0.515874843503471,-0.02896556469155065,0.23271586041379788,0.24055375405122084,0.00783789363742296,0.6266666666666667,0.47,-0.15666666666666673
60,NOVAsa2,0.3643255621230716,0.38868743757881014,0.024361875455738535,0.09839016553041874,0.14452732675814248,0.04613716122772374,0.32333333333333336,0.31333333333333335,-0.010000000000000009
61,NOVAsa3,0.34263966452559547,0.37035174745715865,0.027712082931563187,0.0903458638122607,0.13465887962505224,0.04431301581279154,0.2966666666666667,0.29666666666666663,-5.551115123125783e-17
62,ECNU_M_1,0.42802755176511453,0.4346814925972478,0.006653940832133276,0.14738886841802507,0.18437780062649123,0.03698893220846616,0.41,0.3600000000000001,-0.04999999999999988
63,UKY_CJT,0.4424163804447026,0.4607638133522958,0.01834743290759322,0.16254741331172926,0.20769316971956947,0.045145756407840215,0.4800000000000001,0.48333333333333334,0.0033333333333332438
64,GP14Medline,0.05179746097079312,0.06476744166714661,0.012969980696353488,0.010922090122580656,0.020210703224666803,0.009288613102086146,0.05333333333333334,0.06666666666666667,0.013333333333333329
65,UCASSEMUMLSa,0.4448578668263455,0.46481038491700194,0.019952518090656457,0.15039088569471087,0.19650206073606843,0.04611117504135756,0.38666666666666666,0.33999999999999997,-0.04666666666666669
66,eth_a_ws,0.41016991692207855,0.43363839069687293,0.023468473774794385,0.1230066274261484,0.16900414068289316,0.045997513256744754,0.3633333333333334,0.39000000000000007,0.026666666666666672
67,SDSFU_Lambda,0.3336842266588647,0.36788668432344446,0.034202457664579744,0.08493054477284183,0.13586658242066824,0.05093603764782641,0.28,0.3166666666666666,0.03666666666666657
68,UD_GU_SA_2,0.46567453373419665,0.47122211170979394,0.005547577975597295,0.18676385043383945,0.22411341742837512,0.03734956699453568,0.63,0.5233333333333333,-0.10666666666666669
69,KISTI04,0.4089858333748215,0.4115055820700349,0.0025197486952134307,0.1301005862781526,0.1676553976737615,0.0375548113956089,0.39,0.34,-0.04999999999999999
70,eth_a_luc,0.4069031368819869,0.43245774458322017,0.025554607701233245,0.11975312490226164,0.1672379695093123,0.04748484460705066,0.36000000000000004,0.3866666666666667,0.026666666666666672
71,mRun3MRF,0.4473716226178988,0.4380669212755065,-0.009304701342392308,0.1636998036681658,0.1930968223740848,0.029397018705918987,0.5133333333333334,0.4000000000000001,-0.11333333333333334
72,mugpubgene,0.40225190075270045,0.43832812521121695,0.03607622445851649,0.13795941771469508,0.19768902386930914,0.05972960615461406,0.47,0.4633333333333333,-0.006666666666666654
73,mugpubdiseas,0.48045367023786595,0.47846828859159724,-0.0019853816462687135,0.16551437469848204,0.20318985216710186,0.03767547746861982,0.49,0.41333333333333333,-0.07666666666666666
74,UDInfoPMSA2,0.5237700865041182,0.5036986515639057,-0.020071434940212463,0.19475482935906568,0.21275666961644113,0.018001840257375445,0.5066666666666666,0.3866666666666667,-0.11999999999999988
75,KISTI03,0.3923763045659069,0.4033173821543881,0.01094107758848123,0.11954998668413173,0.1612070385102433,0.041657051826111555,0.38999999999999996,0.3266666666666667,-0.06333333333333324
76,UTDHLTJQ,0.5437651141889236,0.5334768684263389,-0.010288245762584691,0.22138334975378055,0.24665489942261665,0.025271549668836102,0.63,0.46333333333333326,-0.16666666666666674
77,SDSFU_PF_SA,0.3699685798735068,0.4017047516049645,0.03173617173145771,0.10407961060110495,0.1571837685860114,0.05310415798490646,0.3366666666666667,0.32,-0.01666666666666672
78,SIBTMlit5,0.48502986556869293,0.49372513565297355,0.008695270084280615,0.16854347337533157,0.21178215195406686,0.043238678578735285,0.4833333333333334,0.38333333333333336,-0.10000000000000003
79,Focused,0.2296799305752864,0.23128769154899667,0.001607760973710265,0.07276192747360881,0.08310660233829462,0.010344674864685807,0.36333333333333334,0.3899999999999999,0.02666666666666656
80,aCSIROmedPCB,0.3310836564182036,0.3622035342005247,0.031119877782321115,0.0934321894521112,0.13490465668610685,0.041472467233995655,0.3166666666666667,0.3466666666666667,0.02999999999999997
