,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),mrr (base),mrr (fuse),mrr (diff),mrr (pval)
0,sils_run2,0.5356019108820126,0.715814117500605,0.18021220661859239,5.05764142681606e-11,0.2241567446553526,0.408194805696447,0.1840380610410944,1.926421317297938e-08,0.5925,0.49749999999999994,-0.09500000000000008,0.009282250263352625,0.3497277031414247,0.3758186341362547,0.02609093099483001,0.14669420067573077,0.8011408730158729,0.617907647907648,-0.18323322510822493,0.009404913575111492
1,BM25,0.5870132722598846,0.7309951206474342,0.14398184838754957,3.8402396065147425e-07,0.2583769959563904,0.4379719041668418,0.17959490821045138,1.880261661363808e-07,0.5125,0.485,-0.02749999999999997,0.3465999462314331,0.39457057865943373,0.41242246973300556,0.017851891073571824,0.3681776250250034,0.7274377230956178,0.5943019005847954,-0.13313582251082245,0.04557272936657196
2,MedIR4,0.43274487154452324,0.6897842694379575,0.2570393978934342,1.6618111226811916e-12,0.19797756916295023,0.38024230450895646,0.18226473534600623,8.790439928944726e-08,0.525,0.475,-0.050000000000000044,0.10549305108821909,0.28494522709559694,0.34583966826146073,0.06089444116586379,0.014622271746559048,0.6497363945578231,0.535657096171802,-0.11407929838602104,0.11746203588028584
3,imi_mug2_t,0.4658999137945382,0.7068230568150261,0.2409231430204879,2.269329661881067e-12,0.2058089149975188,0.3919374700356795,0.18612855503816073,7.017182121989476e-08,0.5700000000000001,0.505,-0.06500000000000006,0.02603106579169086,0.3257490160786759,0.3595548422087994,0.033805826130123506,0.14019733277851842,0.7469925213675214,0.6183333333333334,-0.12865918803418797,0.08976724237825508
4,SAsimpleLGD,0.5790625445542751,0.7221142567368707,0.1430517121825956,5.59914068464851e-07,0.2603144818515298,0.41381171073179246,0.15349722888026268,1.3733939864769474e-06,0.54,0.5,-0.040000000000000036,0.17630663102888836,0.37759495677794186,0.38267278951204925,0.00507783273410739,0.7855195709734384,0.7415456030897207,0.5379043891212033,-0.20364121396851742,0.0014387195180559362
5,cbnuSA3,0.4417943139949937,0.6905366654714904,0.2487423514764967,3.671295902947567e-11,0.16582182088395303,0.36808279057706716,0.20226096969311413,9.781512690983263e-09,0.42749999999999994,0.4025,-0.02499999999999991,0.328325740532441,0.3061020038805998,0.3320125503754136,0.02591054649481378,0.2852104302359896,0.5875453842242945,0.5966278513153513,0.009082467091056867,0.905452645644201
6,MedIR5,0.5195583948299652,0.7091736324817546,0.18961523765178934,4.6224205632527305e-09,0.24225092379904273,0.3972473842662906,0.15499646046724785,2.09492953026374e-06,0.5125,0.4725,-0.03999999999999998,0.20406916170063388,0.33378919247998406,0.36263790987785427,0.028848717397870205,0.1781731472800882,0.6545262825409883,0.5558727949681896,-0.09865348757279868,0.18786818861184115
7,BM25neopcomd,0.57932810967192,0.7296214816860077,0.15029337201408766,5.151239002376648e-07,0.25483207514109296,0.43640185444242724,0.18156977930133428,2.4206631724674645e-07,0.5125000000000001,0.47750000000000004,-0.03500000000000003,0.2482651165436902,0.39004838120837804,0.41034900981242206,0.020300628604044024,0.3528727242048121,0.7144326725905673,0.5921451914098973,-0.12228748118067001,0.0790764478034334
8,SIBTMlit1,0.573152960741027,0.7336051539036935,0.16045219316266657,1.5207270257102688e-08,0.2614206793518174,0.42506695798276306,0.16364627863094566,1.2086391595233408e-06,0.6275,0.55,-0.0774999999999999,0.009262949527368955,0.3908821753855688,0.38908202343365994,-0.0018001519519088571,0.9253534084485859,0.7556089743589743,0.7060416666666667,-0.04956730769230766,0.4713069956211088
9,DutirRun3,0.5928730680787329,0.7337323515514995,0.14085928347276666,3.34791310334407e-06,0.27753605336429843,0.4303997143455217,0.15286366098122328,2.417080271328619e-06,0.5825,0.545,-0.03749999999999998,0.20388483447472322,0.3963486362891075,0.41275689544482813,0.01640825915572064,0.407665745630059,0.7235867233433975,0.6240782828282828,-0.09950844051511465,0.20226486023064802
10,ccnl_sa1,0.5601362682716481,0.7150285577337117,0.15489228946206357,2.9184442019711393e-08,0.2525434364502023,0.4077900434345487,0.15524660698434645,4.251552519911612e-06,0.645,0.5349999999999999,-0.1100000000000001,0.0002970928408357537,0.41262914013693075,0.39235987454033766,-0.02026926559659309,0.33586586439688293,0.8670536540240519,0.6573048941798941,-0.20974875984415775,0.00041639304986129357
11,cbnuSA2,0.472278917145187,0.6959069648836443,0.22362804773845735,2.0207143838583563e-10,0.18573489351258435,0.37386265768671584,0.1881277641741315,2.792408162085983e-08,0.4625,0.4225,-0.040000000000000036,0.15654872255893748,0.31363045522474736,0.33987832974540966,0.026247874520662295,0.2519038844352511,0.631189377510535,0.5840843818017731,-0.04710499570876192,0.5450911663400482
12,imi_mug3_t,0.46548829708165396,0.7071109231327768,0.24162262605112284,1.60983009887347e-12,0.19950250120533203,0.39069359297480183,0.1911910917694698,5.9521850048996244e-08,0.5675000000000001,0.49749999999999994,-0.07000000000000017,0.022975447885771966,0.3294353363276953,0.3594724865776334,0.030037150249938138,0.19252881647840767,0.8154166666666667,0.6417445054945055,-0.17367216117216122,0.01029902826721625
13,SA_bc,0.5725425369078467,0.6862788026005218,0.11373626569267503,9.908369865719677e-05,0.248579095125341,0.3496307779321928,0.10105168280685184,0.0013790591319014689,0.515,0.35500000000000004,-0.15999999999999998,2.5894770190489954e-05,0.37062236448342895,0.29581612799284535,-0.0748062364905836,0.004970377088864099,0.7303873626373626,0.5093312324929972,-0.22105613014436543,0.0014991561886655237
14,run4,0.3458299993175407,0.6471809128654894,0.3013509135479487,3.905705915696668e-13,0.10981081228031644,0.3148379948291572,0.20502718254884075,8.114126901980102e-08,0.3875,0.32999999999999996,-0.05750000000000005,0.1667393890646616,0.2150265840130901,0.26464236547482967,0.04961578146173956,0.10087756777200743,0.5957058593203449,0.48713279645668994,-0.10857306286365498,0.11869193449156232
15,SIBTMlit3,0.43151888805085986,0.6778965512212234,0.24637766317036353,7.97180891481706e-09,0.16317037331975626,0.3416959122446694,0.17852553892491313,1.0129997613508039e-05,0.5575,0.45999999999999996,-0.09750000000000003,0.0003574861719440611,0.2644204958765676,0.29988263068304866,0.03546213480648108,0.25369294921348523,0.8273771367521368,0.5853977272727272,-0.24197940947940955,0.00023860545698574647
16,dfr_9464,0.5549950132814475,0.7135700050744382,0.15857499179299073,5.9499476379711915e-08,0.23955490354995534,0.4035934416765463,0.16403853812659097,6.131024521021664e-07,0.5125,0.4675000000000001,-0.04499999999999987,0.1382062805952833,0.35767527129255827,0.37695499539159527,0.019279724099037,0.33622453910447037,0.7032251082251083,0.5514736652236653,-0.15175144300144305,0.026875171547459237
17,cbnuSA4,0.4477036560773916,0.6912330827841545,0.24352942670676292,8.36101995119624e-11,0.16917337960842765,0.3697045400668083,0.20053116045838065,1.3659560352984078e-08,0.43249999999999994,0.4050000000000001,-0.027499999999999858,0.30232849267274187,0.30832178255424986,0.3341259395202424,0.02580415696599253,0.2856951858268302,0.5990349880382775,0.5980820364979849,-0.0009529515402926236,0.9900942871156249
18,sa_ft,0.38983344227273464,0.6889965563623834,0.2991631140896488,3.0402025319039355e-12,0.18757309021468754,0.3785867388529597,0.19101364863827214,6.490606862670696e-07,0.5675000000000001,0.47000000000000003,-0.09750000000000009,0.0038487880227920275,0.25282822171266084,0.335000047474565,0.08217182576190418,0.008976820829688495,0.7121212121212122,0.5543347421256903,-0.15778646999552182,0.020573598977962293
19,jlpmltrin,0.4924525218303598,0.6734808143659585,0.1810282925355987,9.196271994408346e-11,0.11923387516440782,0.3304548370343118,0.21122096186990397,9.378771137303914e-10,0.14250000000000002,0.3125,0.16999999999999998,2.8073073794509844e-05,0.356940814846323,0.2878658172319343,-0.06907499761438873,0.016681046987267724,0.3268851296203549,0.5295300012487513,0.2026448716283964,0.006841913117387473
20,jlpmtrboost,0.23942043944037006,0.6648406946215825,0.4254202551812124,4.3653711680873664e-20,0.09880655953562828,0.3398262040890926,0.2410196445534643,5.045580460013621e-09,0.5925,0.515,-0.07750000000000001,0.005606318334346679,0.15111718695160437,0.29312074189198295,0.14200355494037858,5.927242404002532e-05,0.8104746642246642,0.6334257518796992,-0.177048912344965,0.007146841649730348
21,SA_DPH_letor,0.5530710652209896,0.7116912560237132,0.1586201908027236,3.1189858999482636e-08,0.22062797610182439,0.4002315790334561,0.1796036029316317,4.362681902953595e-08,0.5,0.4800000000000001,-0.019999999999999907,0.46843827837950847,0.3621584189515502,0.3685425167089372,0.006384097757386964,0.7109149631726945,0.6544261294261294,0.5190931637806638,-0.1353329656454656,0.06390359802848446
22,BM25neop01,0.5808852025621446,0.7297117240760971,0.14882652151395248,6.677177404866049e-07,0.2560870047688298,0.4366920231105024,0.18060501834167264,2.911474213271559e-07,0.515,0.475,-0.040000000000000036,0.19506260166843317,0.39018070033425617,0.41084263876496924,0.020661938430713067,0.343540571081427,0.7144326725905673,0.5920720919946926,-0.12236058059587474,0.0789129936071226
23,sa_base_rr,0.37514736258528336,0.685709607191105,0.3105622446058216,4.483308969307319e-13,0.17692001240040794,0.3753997482700379,0.19847973586962997,2.3358852675054344e-07,0.56,0.44250000000000006,-0.1175,0.00019944352017147907,0.24067622917783077,0.33308543880509894,0.09240920962726817,0.003334453479925278,0.719845323264441,0.5097020358868185,-0.21014328737762245,0.003239328635777394
24,xgb_5113,0.26037021526634857,0.678088920116495,0.41771870485014645,3.3609232154714924e-17,0.11887569460208766,0.3661135339112763,0.24723783930918866,3.3769290593313976e-09,0.5125,0.465,-0.04749999999999993,0.05247504842439028,0.16011490350925245,0.3181178559955506,0.15800295248629814,2.0580459100634055e-05,0.6927480158730159,0.5527380952380951,-0.1400099206349208,0.03673216067213318
25,BM25neopgngm,0.5868566741848278,0.7298745775904794,0.14301790340565157,6.387358044003417e-07,0.25726260392235345,0.43681873679862016,0.1795561328762667,2.3027598647411025e-07,0.5050000000000001,0.4725,-0.03250000000000014,0.31158742115521637,0.3947698409620581,0.4113335532040555,0.01656371224199743,0.4058070673104057,0.7007921245421246,0.5897532894736843,-0.11103883506844026,0.11819544169170569
26,SA_LGD_letor,0.5415777907302635,0.709264879424791,0.16768708869452753,6.0826594071444636e-09,0.2122872965408617,0.39926396376195405,0.18697666722109235,3.257948202683243e-08,0.51,0.4525,-0.057499999999999996,0.041263936855278585,0.35107713141949864,0.36476570997310537,0.013688578553606723,0.4418135714513949,0.6122646103896103,0.5192144349902972,-0.09305017539931315,0.18538594299148806
27,sils_run3,0.5326198523535208,0.7133216225989932,0.1807017702454724,5.1626947137338835e-11,0.22162461318005505,0.4041048609358942,0.18248024775583915,2.2788037744221978e-08,0.5925,0.5050000000000001,-0.08749999999999991,0.006491704658032463,0.3475973461549529,0.36680739332730095,0.019210047172348033,0.2856308875175886,0.7787312312312313,0.614832251082251,-0.1638989801489803,0.012902472361414587
28,imi_mug2,0.581567246734016,0.7264187477366784,0.1448515010026623,1.1042898732778e-06,0.27560079868884035,0.42110715638235535,0.145506357693515,7.714906978697088e-06,0.575,0.5225,-0.05249999999999999,0.057220876467026074,0.3780145692033124,0.3891641474645775,0.011149578261265114,0.6055214893800458,0.7447569444444444,0.6123611111111111,-0.13239583333333327,0.10136105218601461
29,SIBTMlit4,0.5775296438926925,0.7321079121459733,0.1545782682532808,2.7534773079724162e-08,0.2651720435777932,0.42413991716515537,0.15896787358736214,2.225841668536129e-06,0.6224999999999999,0.55,-0.0724999999999999,0.011967361711103925,0.3959520325631887,0.3885954610672312,-0.007356571495957531,0.6889629950175788,0.7510256410256411,0.6992676767676768,-0.051757964257964306,0.45245276447407146
30,absrun2,0.3547657385028243,0.6696322691526538,0.31486653064982956,2.0211600777552725e-16,0.11714709142595074,0.31490708928209127,0.1977599978561405,4.4379792136078283e-10,0.3975,0.39,-0.007500000000000007,0.8415911374158289,0.22325339950771078,0.3189710692107901,0.09571766970307932,0.00014693586273892677,0.5977755628991834,0.6436011904761905,0.04582562757700703,0.5509597076705872
31,ccnl_sa2,0.5668990270633312,0.7154948919037143,0.14859586484038312,1.2693308073237763e-07,0.25379149180021293,0.4109353345816736,0.15714384278146065,3.861578366945459e-06,0.65,0.54,-0.10999999999999999,2.732556632832543e-05,0.4093633172588381,0.39437581399552346,-0.014987503263314661,0.48421528223109256,0.8503410652920962,0.6619675925925926,-0.18837347269950355,0.0010533129510835145
32,ccnl_sa3,0.5355047686629787,0.7116031040573605,0.1760983353943818,1.3288858868922471e-09,0.22627945824793186,0.40696029863151395,0.1806808403835821,7.45675679899616e-08,0.5475,0.51,-0.03749999999999998,0.2620346280225958,0.39332373687924094,0.4095769901474199,0.016253253268178947,0.4102199218171122,0.7488443104514533,0.6675992063492063,-0.08124510410224695,0.27728130125483763
33,imi_mug1,0.5678248369175675,0.7255551418321808,0.15773030491461337,6.854827615892707e-08,0.26389572525157057,0.4205546457365725,0.1566589204850019,2.0026487941678966e-06,0.5725,0.525,-0.04749999999999999,0.11570664504961281,0.37464410490903743,0.38971290601870007,0.015068801109662633,0.4819801952999033,0.6610489256678281,0.6072123015873017,-0.053836624080526474,0.458144088625853
34,MedIR2,0.4412569908276346,0.7018691936140065,0.26061220278637187,5.582281674812109e-13,0.20226114136341627,0.3909973002590082,0.18873615889559192,1.3596836140918555e-08,0.565,0.5050000000000001,-0.05999999999999983,0.10146505136865859,0.28506046748852565,0.3638608852202362,0.07880041773171054,0.0011492043279534648,0.6906001367938479,0.6911361917725347,0.0005360549786868063,0.9944229899373165
