,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval)
0,sils_run2,0.5356019108820126,0.7386179286107367,0.20301601772872413,9.422449165143015e-14,0.2241567446553526,0.4292280037330148,0.2050712590776622,4.3287522412047487e-10,0.5925,0.58,-0.012500000000000067,0.6497366953359116,0.3497277031414247,0.39549810653470446,0.04577040339327976,0.004426562407492411
1,BM25,0.5870132722598846,0.7562354219291919,0.16922214966930726,7.660799637510557e-09,0.2583769959563904,0.46308321349146997,0.20470621753507956,5.3887132568646204e-09,0.5125,0.555,0.04250000000000009,0.10742811642092528,0.39457057865943373,0.4338340083713773,0.039263429711943576,0.029978834190635097
2,MedIR4,0.43274487154452324,0.7187302482605794,0.28598537671605617,1.353141761604376e-15,0.19797756916295023,0.4124135285742597,0.2144359594113095,4.4766606073010434e-10,0.525,0.545,0.020000000000000018,0.483006373111286,0.28494522709559694,0.37432037032048465,0.08937514322488771,0.00010861409056335254
3,imi_mug2_t,0.4658999137945382,0.7320477550205223,0.2661478412259841,7.010511601417093e-15,0.2058089149975188,0.4163441873496141,0.2105352723520953,1.2540575154611208e-09,0.5700000000000001,0.5675,-0.0025000000000000577,0.9214465601490792,0.3257490160786759,0.3821543328956385,0.05640531681696259,0.009167939042144697
4,SAsimpleLGD,0.5790625445542751,0.7484432760280182,0.1693807314737431,3.233160742175156e-09,0.2603144818515298,0.43895610141507324,0.17864161956354346,4.231197483179531e-08,0.54,0.5525,0.012499999999999956,0.6874613985465302,0.37759495677794186,0.40198224260270654,0.024387285824764682,0.16503836759799972
5,cbnuSA3,0.4417943139949937,0.709857379015,0.2680630650200063,1.71437623489695e-13,0.16582182088395303,0.39294908625355024,0.2271272653695972,4.1092840251954934e-10,0.42749999999999994,0.45249999999999996,0.025000000000000022,0.2807684384650307,0.3061020038805998,0.3609041807104535,0.054802176829853666,0.008367067972277759
6,MedIR5,0.5195583948299652,0.7439088200696828,0.2243504252397176,2.4933937240290696e-12,0.24225092379904273,0.43454146762068807,0.19229054382164534,6.358441431973503e-09,0.5125,0.5725,0.06000000000000005,0.04867867282053378,0.33378919247998406,0.3946330484744655,0.060843855994481444,0.001953106009483521
7,BM25neopcomd,0.57932810967192,0.7543277596203258,0.17499964994840578,1.3647172092746731e-08,0.25483207514109296,0.4605231562037778,0.20569108106268486,6.2852498664620844e-09,0.5125000000000001,0.5575,0.04499999999999993,0.12412414138449436,0.39004838120837804,0.4304827078939061,0.040434326685528044,0.033164457065997736
8,SIBTMlit1,0.573152960741027,0.7603905741767465,0.18723761343571954,4.481643498028278e-11,0.2614206793518174,0.45996362370364796,0.19854294435183056,5.822799262975318e-09,0.6275,0.6174999999999999,-0.010000000000000009,0.6604312405882873,0.3908821753855688,0.422213850775176,0.03133167538960718,0.06806501607421259
9,DutirRun3,0.5928730680787329,0.7565380863200788,0.16366501824134594,6.61309763893266e-08,0.27753605336429843,0.45152067154214137,0.17398461817784294,3.135014193495898e-08,0.5825,0.595,0.012499999999999956,0.6469016944902842,0.3963486362891075,0.4272805621491317,0.03093192586002419,0.08919259628012265
