,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),ndcg@10 (base),ndcg@10 (fuse),ndcg@10 (diff),ndcg@10 (pval),ndcg@50 (base),ndcg@50 (fuse),ndcg@50 (diff),ndcg@50 (pval),ndcg@100 (base),ndcg@100 (fuse),ndcg@100 (diff),ndcg@100 (pval),ndcg@200 (base),ndcg@200 (fuse),ndcg@200 (diff),ndcg@200 (pval),ndcg@500 (base),ndcg@500 (fuse),ndcg@500 (diff),ndcg@500 (pval),ndcg@1000 (base),ndcg@1000 (fuse),ndcg@1000 (diff),ndcg@1000 (pval)
0,sils_run2,0.5356019108820126,0.7074556893528003,0.17185377847078775,3.261115923582543e-10,0.2241567446553526,0.37866192381659985,0.15450517916124726,5.144709605675882e-07,0.5925,0.4175000000000001,-0.17499999999999993,4.077626518516124e-05,0.3497277031414247,0.33536586393878676,-0.01436183920263795,0.45220527930136034,0.576022314602004,0.4023032073852881,-0.17371910721671596,1.3429832093473058e-05,0.460900350126083,0.4171888309671095,-0.04371151915897348,0.018006091833946743,0.42661937293377167,0.45640231324936575,0.029782940315594086,0.08787507949695907,0.42445595935015845,0.5409359039223854,0.11647994457222699,3.4113904688916876e-08,0.4681434964570938,0.6849315433114642,0.21678804685437042,9.996623572145382e-14,0.5356019108820126,0.7033035441421422,0.16770163326012966,6.676268959420333e-10
1,BM25,0.5870132722598846,0.7209385677275877,0.13392529546770304,7.681417459102378e-06,0.2583769959563904,0.3947790215079781,0.1364020255515877,6.207457693692363e-05,0.5125,0.41500000000000004,-0.09749999999999992,0.016245167166663042,0.39457057865943373,0.35193157718328766,-0.04263900147614608,0.10953368255458362,0.4693199371400098,0.38405710887627487,-0.08526282826373494,0.05295644495535177,0.4394490144125519,0.420754696259163,-0.0186943181533889,0.4412802167419583,0.42457985368074824,0.46217204076091634,0.037592187080168094,0.09859521696946466,0.4579297081434053,0.5583187241753842,0.10038901603197892,0.00011332315191499908,0.5299717811746226,0.6977001888170381,0.16772840764241548,2.3941087251717083e-07,0.5870132722598846,0.7191321298477454,0.1321188575878608,8.453452037558683e-06
2,MedIR4,0.43274487154452324,0.6954077581309299,0.2626628865864067,1.7453033484361457e-12,0.19797756916295023,0.3718708999422791,0.1738933307793289,6.13428812244975e-07,0.525,0.425,-0.10000000000000003,0.009563548476957924,0.28494522709559694,0.3270721372106659,0.04212691011506897,0.13526674583934564,0.47442538568059067,0.4009064679813066,-0.07351891769928409,0.0720214829114908,0.42558634132220907,0.41361599970097807,-0.011970341621231007,0.5579443856470712,0.4013410384726285,0.4493740318717367,0.048032993399108215,0.012932567712985914,0.40207154285311014,0.5325437442933184,0.13047220144020827,2.6977749205459393e-08,0.43260466016542864,0.6808933784877604,0.2482887183223318,1.0056554213254528e-12,0.43274487154452324,0.6954077581309299,0.2626628865864067,1.7453033484361457e-12
3,imi_mug2_t,0.4658999137945382,0.7076597292943918,0.2417598154998536,4.888310258314572e-12,0.2058089149975188,0.3763750061712833,0.17056609117376448,7.011069957768465e-07,0.5700000000000001,0.42750000000000005,-0.14250000000000002,9.625979455444166e-05,0.3257490160786759,0.3325842294964517,0.006835213417775821,0.792719956337834,0.5305339845904944,0.4015903438038406,-0.12894364078665377,0.00029878035746877616,0.4426630260940053,0.41770234078180896,-0.024960685312196362,0.26338652651359346,0.408748261254372,0.4477874571040815,0.039039195849709496,0.06700013250655971,0.40176865727900263,0.5342446305015196,0.13247597322251697,1.8701451206073468e-07,0.4379491391025761,0.6889068196837844,0.2509576805812083,8.030754974332157e-13,0.4658999137945382,0.7068188375137124,0.24091892371917423,5.220014100880503e-12
4,SAsimpleLGD,0.5790625445542751,0.7099843181872451,0.13092177363296997,1.3747551666286677e-05,0.2603144818515298,0.37939597399171554,0.11908149214018576,0.0003855342415085818,0.54,0.3875,-0.15250000000000002,0.0002978848109305332,0.37759495677794186,0.33448105583256943,-0.04311390094537243,0.07549837803175613,0.5344297620779818,0.37062514285435805,-0.16380461922362372,0.0001740364480170083,0.4680560429285391,0.41003275246715454,-0.05802329046138455,0.017799639312602915,0.44946043241393346,0.450950171244353,0.0014897388304195291,0.9432869721813052,0.46767710644317184,0.5422127744721278,0.07453566802895595,0.0004332257712152034,0.533819185106055,0.6889844544726607,0.15516526936660568,8.562090564852339e-07,0.5790625445542751,0.7087342273004802,0.1296716827462051,1.426728969473183e-05
5,cbnuSA3,0.4417943139949937,0.6913293554730471,0.2495350414780534,3.850465938689232e-11,0.16582182088395303,0.35464771767333597,0.18882589678938294,1.105922750186108e-07,0.42749999999999994,0.3825,-0.04499999999999993,0.2116574428986266,0.3061020038805998,0.3094521812368436,0.0033501773562437664,0.8965224875660228,0.41236237938676756,0.37436812847627854,-0.037994250910489025,0.3034449325658769,0.35378849952693486,0.3820335379923893,0.028245038465454453,0.18141922406153,0.33517176030579127,0.4225537564065845,0.08738199610079322,0.00016168460113781752,0.34179973393335567,0.5164026953041556,0.17460296137079995,2.539123353706402e-10,0.4023015623820735,0.6675511643908678,0.2652496020087943,2.1302763053122698e-12,0.4417943139949937,0.6897291973875902,0.2479348833925965,4.4045570921113486e-11
6,MedIR5,0.5195583948299652,0.7142163480272599,0.19465795319729462,8.011510344036591e-09,0.24225092379904273,0.3844190575810786,0.14216813378203585,2.8058275202285332e-05,0.5125,0.4325,-0.07999999999999996,0.03466471799397227,0.33378919247998406,0.3350045577206556,0.001215365240671562,0.9630623225408326,0.4725204634372348,0.4153475830402914,-0.057172880396943404,0.15762359389983216,0.4506500716803627,0.4250810747099985,-0.02556899697036419,0.31777543303452527,0.4366791688757961,0.459179102310914,0.022499933435117914,0.2674680212499056,0.45561065685258917,0.5484569700892132,0.09284631323662407,3.9008677330621464e-05,0.5195583948299652,0.6972861971548885,0.17772780232492325,7.974047105930567e-09,0.5195583948299652,0.7142163480272599,0.19465795319729462,8.011510344036591e-09
7,BM25neopcomd,0.57932810967192,0.720718252343431,0.14139014267151095,7.354805039439306e-06,0.25483207514109296,0.39367408052944414,0.13884200538835118,6.109536164537589e-05,0.5125000000000001,0.4074999999999999,-0.10500000000000015,0.008777294856356017,0.39004838120837804,0.3499154202729714,-0.040132960935406636,0.15117586322117832,0.4674022647744234,0.38312775832008505,-0.08427450645433837,0.056722192795990264,0.436159611769401,0.42021710441743937,-0.01594250735196162,0.515122984743152,0.42089642160602575,0.46217587822861467,0.04127945662258892,0.08055227587363842,0.45032075000073923,0.5579037584359298,0.10758300843519053,7.807254107168569e-05,0.5244525005055832,0.6973717340901183,0.1729192335845351,3.6608916665790077e-07,0.57932810967192,0.7190499763363769,0.13972186666445685,7.87354916980811e-06
8,SIBTMlit1,0.573152960741027,0.7218030581190014,0.1486500973779744,7.729717262284295e-08,0.2614206793518174,0.3914017365420293,0.1299810571902119,0.00010391517827690596,0.6275,0.49250000000000005,-0.1349999999999999,0.00018819602130603724,0.3908821753855688,0.34212353773306,-0.04875863765250882,0.038888979606455217,0.5973156119432466,0.471781367808293,-0.12553424413495357,0.0007947570050104621,0.49379379662139833,0.4490439038155068,-0.044749892805891534,0.05964083565603384,0.46189115363391453,0.4842988275341087,0.02240767390019416,0.28283961733161894,0.46834930312215584,0.56309137848754,0.09474207536538415,1.0638839480176583e-05,0.5298612370393084,0.7009170620586956,0.1710558250193872,4.515208691196733e-09,0.573152960741027,0.720830789390977,0.14767782864995005,8.162365965474424e-08
9,DutirRun3,0.5928730680787329,0.7239775587891316,0.13110449071039876,2.1116589915402828e-05,0.27753605336429843,0.392737810461277,0.11520175709697855,0.0007364890767375511,0.5825,0.45499999999999996,-0.12750000000000006,0.0015195608318305453,0.3963486362891075,0.34319017981210137,-0.05315845647700612,0.043919856947716426,0.5520192063357511,0.4369402092186167,-0.11507899711713437,0.006433968001884626,0.48157339908742347,0.4405932424499831,-0.04098015663744037,0.1065764494270052,0.4656050417126029,0.47272238270445327,0.007117340991850352,0.7491798686393352,0.48256445745437676,0.5615604607474733,0.07899600329309658,0.0010546584343525355,0.5457629011312337,0.7037955947570007,0.158032693625767,9.220538274457022e-07,0.5928730680787329,0.7226889759141923,0.1298159078354595,2.3194672541946452e-05
