,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),mrr (base),mrr (fuse),mrr (diff),mrr (pval)
0,sils_run2,0.5356019108820126,0.6737951612126819,0.13819325033066931,2.2097206678343306e-12,0.2241567446553526,0.26610411297653924,0.041947368321186645,5.158353937069098e-10,0.5925,0.6075,0.015000000000000013,0.13541994799643678,0.3497277031414247,0.39773939209679743,0.04801168895537272,0.00023449806879807092,0.8011408730158729,0.7954637896825396,-0.005677083333333277,0.20548471305322263
1,BM25,0.5870132722598846,0.6989417500453188,0.11192847778543413,2.2245541028446618e-08,0.2583769959563904,0.30165530576508537,0.04327830980869496,3.0991613179490363e-07,0.5125,0.5325000000000001,0.02000000000000013,0.018900485537150465,0.39457057865943373,0.44089973458331766,0.046329155923883925,0.0008667996116148022,0.7274377230956178,0.7484806166056166,0.021042893509998772,0.5147492111413356
2,MedIR4,0.43274487154452324,0.6716677242865381,0.23892285274201486,7.408661677940276e-15,0.19797756916295023,0.2966512362702614,0.09867366710731118,8.00684922421275e-10,0.525,0.5325,0.007499999999999951,0.32347494517138364,0.28494522709559694,0.37284094894519915,0.0878957218496022,3.585022698084705e-05,0.6497363945578231,0.706032176028306,0.056295781470482975,0.0760742956171563
3,imi_mug2_t,0.4658999137945382,0.6819801428467533,0.21608022905221513,2.3118815804651607e-13,0.2058089149975188,0.28435854675550953,0.07854963175799073,2.3708543448957656e-05,0.5700000000000001,0.57,-1.1102230246251565e-16,0.9999999999999998,0.3257490160786759,0.39436546802017985,0.06861645194150395,0.0003012955683077743,0.7469925213675214,0.761140873015873,0.014148351648351598,0.6794026939059299
4,SAsimpleLGD,0.5790625445542751,0.7015305940061696,0.12246804945189449,4.760084642500818e-09,0.2603144818515298,0.3023452677548406,0.04203078590331083,3.030143467597241e-07,0.54,0.5425,0.0024999999999999467,0.7854353297923934,0.37759495677794186,0.42614145764599726,0.0485465008680554,0.0008893583124772515,0.7415456030897207,0.7329847505442268,-0.00856085254549388,0.7733326727242631
5,cbnuSA3,0.4417943139949937,0.6225812961153594,0.1807869821203657,4.137577327931287e-13,0.16582182088395303,0.2120594429513909,0.04623762206743787,1.1115712500791807e-09,0.42749999999999994,0.4425,0.015000000000000069,0.10970013782984382,0.3061020038805998,0.36207567012994274,0.05597366624934291,0.0008744298619642486,0.5875453842242945,0.6248275565507844,0.03728217232648989,0.15575254080096532
6,MedIR5,0.5195583948299652,0.6979229265570359,0.17836453172707067,1.5955908249697194e-11,0.24225092379904273,0.3167980127572231,0.07454708895818035,4.390091324476875e-08,0.5125,0.5225,0.010000000000000009,0.2099387425744178,0.33378919247998406,0.3993592411139044,0.06557004863392035,0.0003309825523751002,0.6545262825409883,0.696675505050505,0.04214922250951669,0.19958634141484624
7,BM25neopcomd,0.57932810967192,0.6966655686417399,0.11733745896981984,3.4043986210873636e-08,0.25483207514109296,0.2979523117492901,0.04312023660819714,2.2295329912378306e-07,0.5125000000000001,0.5325,0.019999999999999907,0.018900485537150465,0.39004838120837804,0.4373891702674185,0.04734078905904049,0.0012474600140638318,0.7144326725905673,0.7469742063492063,0.032541533758638996,0.3477367036291078
8,SIBTMlit1,0.573152960741027,0.7088470018023563,0.13569404106132932,2.072777991337848e-10,0.2614206793518174,0.3136410791405057,0.05222039978868831,5.65740699901015e-11,0.6275,0.6424999999999998,0.014999999999999902,0.03204980893512652,0.3908821753855688,0.43658377055320996,0.04570159516764116,0.0009126516700284419,0.7556089743589743,0.7579166666666668,0.002307692307692455,0.544231787495654
9,DutirRun3,0.5928730680787329,0.7089933885047488,0.11612032042601594,2.286861021446083e-08,0.27753605336429843,0.31939813498278236,0.041862081618483926,4.363837126679769e-08,0.5825,0.6024999999999999,0.019999999999999907,0.04398378691677216,0.3963486362891075,0.43780242079784004,0.04145378450873255,0.0019814875932326827,0.7235867233433975,0.8128186274509804,0.08923190410758297,0.02233859921854646
10,ccnl_sa1,0.5601362682716481,0.6953707925715816,0.13523452429993355,1.6626511642281108e-10,0.2525434364502023,0.3088945672666171,0.05635113081641485,8.953355719476675e-08,0.645,0.6675,0.022499999999999964,0.04815232151768009,0.41262914013693075,0.4436888671492648,0.03105972701233406,0.03038696747185092,0.8670536540240519,0.7801532567049808,-0.08690039731907107,0.028834909573546112
11,cbnuSA2,0.472278917145187,0.6436077662313744,0.1713288490861874,1.84915211741732e-12,0.18573489351258435,0.23456020347240178,0.04882530995981743,2.4790374193484503e-08,0.4625,0.45500000000000007,-0.007499999999999951,0.5963865508083578,0.31363045522474736,0.37264775013918244,0.05901729491443508,0.00046457324396213394,0.631189377510535,0.6853625139299645,0.054173136419429446,0.0806956680565363
12,imi_mug3_t,0.46548829708165396,0.6843060485392007,0.21881775145754678,4.899969107014911e-14,0.19950250120533203,0.28005397377835456,0.08055147257302253,1.3383383373240345e-05,0.5675000000000001,0.5675,-1.1102230246251565e-16,0.9999999999999997,0.3294353363276953,0.3997882763706805,0.0703529400429852,0.00029216612472031145,0.8154166666666667,0.8479166666666668,0.032500000000000084,0.26620481660611706
13,SA_bc,0.5725425369078467,0.711262983667285,0.1387204467594383,1.4445369328458029e-08,0.248579095125341,0.3327012419907731,0.08412214686543212,3.2279969206255047e-06,0.515,0.48,-0.03500000000000003,0.050913950000903214,0.37062236448342895,0.3646979296448477,-0.005924434838581238,0.7388392791643248,0.7303873626373626,0.7308234126984127,0.00043605006105007504,0.8429022480761938
14,run4,0.3458299993175407,0.6252734182504521,0.2794434189329114,6.453350505479725e-15,0.10981081228031644,0.2410938866139567,0.13128307433364025,1.0416939554596573e-09,0.3875,0.39249999999999996,0.004999999999999949,0.8145078145472182,0.2150265840130901,0.27314603083801303,0.05811944682492293,0.011835565607386443,0.5957058593203449,0.613735380116959,0.01802952079661413,0.21189855824295764
15,SIBTMlit3,0.43151888805085986,0.6527206008034632,0.2212017127526033,4.680560581903485e-11,0.16317037331975626,0.2403966729563142,0.07722629963655794,1.6677648112532138e-08,0.5575,0.5599999999999999,0.0024999999999999467,0.7672414557706497,0.2644204958765676,0.3358523201186068,0.0714318242420392,0.0029458088434364347,0.8273771367521368,0.8253968253968254,-0.001980311355311404,0.919387898985873
16,dfr_9464,0.5549950132814475,0.6794967987696225,0.12450178548817503,2.2166586464845036e-09,0.23955490354995534,0.2782645386147731,0.03870963506481778,2.314634928999579e-07,0.5125,0.5275000000000001,0.015000000000000124,0.08316048921733514,0.35767527129255827,0.40852972188678915,0.05085445059423088,0.000469818375985399,0.7032251082251083,0.6875595238095238,-0.01566558441558452,0.5277185708590217
17,cbnuSA4,0.4477036560773916,0.6240929310082732,0.17638927493088163,9.048807999827922e-13,0.16917337960842765,0.21455452233812125,0.045381142729693597,1.6178340770416954e-09,0.43249999999999994,0.44749999999999995,0.015000000000000013,0.15991096003143135,0.30832178255424986,0.36397775232199436,0.055655969767744506,0.0007881610499968317,0.5990349880382775,0.6382453412722928,0.03921035323401534,0.13465252386155396
18,sa_ft,0.38983344227273464,0.6929599977461012,0.30312655547336653,1.1670054020918933e-14,0.18757309021468754,0.35434918406277294,0.1667760938480854,2.1666174566056038e-08,0.5675000000000001,0.58,0.012499999999999845,0.09596045449533605,0.25282822171266084,0.3699608028734384,0.11713258116077757,4.554839150811296e-05,0.7121212121212122,0.7267173283705542,0.014596116249342095,0.25445036173775976
19,jlpmltrin,0.4924525218303598,0.6560808467220582,0.16362832489169843,1.0418047585056142e-09,0.11923387516440782,0.3111340670046956,0.19190019184028778,2.2900289391769278e-08,0.14250000000000002,0.3425,0.2,6.948655477578635e-06,0.356940814846323,0.27864616194963954,-0.07829465289668347,0.008534486574936452,0.3268851296203549,0.5255506438006438,0.19866551418028888,0.0002517452055015445
20,jlpmtrboost,0.23942043944037006,0.6353061573653538,0.3958857179249837,2.9798601652858778e-21,0.09880655953562828,0.26136051006058836,0.16255395052496008,2.533685595361131e-09,0.5925,0.5925,0.0,1.0,0.15111718695160437,0.3052822742243911,0.15416508727278672,3.013625539328004e-06,0.8104746642246642,0.8235958919552668,0.013121227730602647,0.5515276611482366
21,SA_DPH_letor,0.5530710652209896,0.6731232391687298,0.12005217394774026,7.952416054524864e-10,0.22062797610182439,0.259532955964565,0.03890497986274061,1.6017963723836597e-08,0.5,0.49750000000000005,-0.0024999999999999467,0.7434672032976997,0.3621584189515502,0.4064789666602958,0.044320547708745606,0.0013866478460080657,0.6544261294261294,0.677042196359978,0.022616066933848544,0.21449822762007786
22,BM25neop01,0.5808852025621446,0.6976592707388084,0.1167740681766638,3.907667432182707e-08,0.2560870047688298,0.29922873827315194,0.043141733504322155,2.2030683801767354e-07,0.515,0.535,0.020000000000000018,0.030633221824776388,0.39018070033425617,0.43747200768882843,0.047291307354572265,0.0012766978734178825,0.7144326725905673,0.7469742063492063,0.032541533758638996,0.3477367036291078
23,sa_base_rr,0.37514736258528336,0.6882715549750487,0.3131241923897653,2.311252655682033e-15,0.17692001240040794,0.3456064125471764,0.16868640014676844,1.3668219855712284e-08,0.56,0.5725,0.012499999999999956,0.13340422288162446,0.24067622917783077,0.36101499054659125,0.12033876136876048,3.7505956373419655e-05,0.719845323264441,0.7490406785243742,0.02919535525993322,0.10880615675874701
24,xgb_5113,0.26037021526634857,0.6803002356301794,0.4199300203638308,1.239808150384094e-18,0.11887569460208766,0.36481741889542374,0.24594172429333608,4.824596731183724e-10,0.5125,0.515,0.0025000000000000577,0.7672414557706504,0.16011490350925245,0.3293517487512875,0.16923684524203503,1.4381951980737584e-06,0.6927480158730159,0.7288456439393939,0.03609762806637795,0.23264640295948089
25,BM25neopgngm,0.5868566741848278,0.6992422900612999,0.11238561587647211,3.099546866030382e-08,0.25726260392235345,0.3006880817798757,0.043425477857522266,4.960874021116725e-07,0.5050000000000001,0.53,0.02499999999999991,0.005916382798210234,0.3947698409620581,0.44040731456449633,0.04563747360243825,0.001203053088080794,0.7007921245421246,0.7398719336219337,0.039079809079809125,0.2886067871035455
26,SA_LGD_letor,0.5415777907302635,0.6671752527212893,0.12559746199102584,6.954277170198031e-10,0.2122872965408617,0.2541084895127429,0.041821192971881194,1.067178217752512e-08,0.51,0.5175,0.007499999999999951,0.4738380587937251,0.35107713141949864,0.39793030197728807,0.046853170557789425,0.0012776749443596566,0.6122646103896103,0.632652962221818,0.020388351832207663,0.29354959968351096
27,sils_run3,0.5326198523535208,0.6729444242319809,0.14032457187846004,1.6926323203129119e-12,0.22162461318005505,0.26431340645362444,0.04268879327356939,4.60109353951133e-10,0.5925,0.6125,0.020000000000000018,0.03063322182477641,0.3475973461549529,0.3939572416892307,0.04635989553427777,0.0003682151679344166,0.7787312312312313,0.7891145833333334,0.010383352102102061,0.42121962598480567
28,imi_mug2,0.581567246734016,0.7174873610307433,0.13592011429672723,5.886545671828152e-08,0.27560079868884035,0.33618207172968234,0.06058127304084199,0.0005530548139121442,0.575,0.5900000000000001,0.015000000000000124,0.13541994799643695,0.3780145692033124,0.42621467262097346,0.04820010341766107,0.0028152790481381267,0.7447569444444444,0.7758333333333333,0.031076388888888862,0.4083732901681837
29,SIBTMlit4,0.5775296438926925,0.7174854401919012,0.13995579629920873,1.9757904647830336e-11,0.2651720435777932,0.31782812172117697,0.052656078143383744,1.8370413689567046e-11,0.6224999999999999,0.6325000000000001,0.01000000000000012,0.25323508542565065,0.3959520325631887,0.4404157795913438,0.04446374702815509,0.0009454059558910141,0.7510256410256411,0.8060416666666667,0.05501602564102559,0.02745302182633716
30,absrun2,0.3547657385028243,0.582200783330573,0.22743504482774873,1.2154817255710533e-15,0.11714709142595074,0.1643165567104789,0.04716946528452816,6.978833049603797e-09,0.3975,0.4225,0.024999999999999967,0.20807209006842523,0.22325339950771078,0.30866090227060855,0.08540750276289777,2.9457081304099686e-05,0.5977755628991834,0.5914297161172162,-0.006345846781967257,0.918087403875425
31,ccnl_sa2,0.5668990270633312,0.6914433916981186,0.12454436463478746,2.507194339975088e-09,0.25379149180021293,0.3065390162030154,0.05274752440280245,5.186849333043879e-08,0.65,0.6725,0.022499999999999964,0.07130878684069532,0.4093633172588381,0.44634579635412147,0.03698247909528335,0.016250368525843915,0.8503410652920962,0.7391598360655737,-0.11118122922652252,0.006350968213958565
32,ccnl_sa3,0.5355047686629787,0.6691842365053635,0.13367946784238482,1.307423344392576e-09,0.22627945824793186,0.2853498264285371,0.059070368180605265,5.773929750171001e-08,0.5475,0.5599999999999999,0.012499999999999956,0.6316185397210188,0.39332373687924094,0.44246766913940316,0.049143932260162226,0.0029558338122861283,0.7488443104514533,0.7284284812409811,-0.020415829210472136,0.7269722241240357
